seed,model,encoding,scenario,canvas,accuracy
3,mlp,raw_pixels,in_domain,256,0.9141666666666667
3,mlp,raw_pixels,scale_2x,512,0.9083333333333333
3,mlp,raw_pixels,scale_4x,1024,0.9058333333333334
3,mlp,raw_pixels,translated_crop,1024,0.5275
3,mlp,normalized,in_domain,256,0.8483333333333334
3,mlp,normalized,scale_2x,512,0.8558333333333333
3,mlp,normalized,scale_4x,1024,0.8658333333333333
3,mlp,normalized,translated_crop,1024,0.7841666666666667
3,mlp,quantized_32,in_domain,256,0.8541666666666666
3,mlp,quantized_32,scale_2x,512,0.8525
3,mlp,quantized_32,scale_4x,1024,0.8708333333333333
3,mlp,quantized_32,translated_crop,1024,0.7833333333333333
3,mlp,fourier,in_domain,256,0.7908333333333334
3,mlp,fourier,scale_2x,512,0.7883333333333333
3,mlp,fourier,scale_4x,1024,0.79
3,mlp,fourier,translated_crop,1024,0.6241666666666666
3,transformer,raw_pixels,in_domain,256,0.3491666666666667
3,transformer,raw_pixels,scale_2x,512,0.34
3,transformer,raw_pixels,scale_4x,1024,0.36083333333333334
3,transformer,raw_pixels,translated_crop,1024,0.22583333333333333
3,transformer,normalized,in_domain,256,0.9666666666666667
3,transformer,normalized,scale_2x,512,0.9625
3,transformer,normalized,scale_4x,1024,0.9525
3,transformer,normalized,translated_crop,1024,0.6283333333333333
3,transformer,quantized_32,in_domain,256,0.955
3,transformer,quantized_32,scale_2x,512,0.9375
3,transformer,quantized_32,scale_4x,1024,0.9433333333333334
3,transformer,quantized_32,translated_crop,1024,0.6408333333333334
3,transformer,fourier,in_domain,256,0.9325
3,transformer,fourier,scale_2x,512,0.9125
3,transformer,fourier,scale_4x,1024,0.9083333333333333
3,transformer,fourier,translated_crop,1024,0.6108333333333333
7,mlp,raw_pixels,in_domain,256,0.8941666666666667
7,mlp,raw_pixels,scale_2x,512,0.8816666666666667
7,mlp,raw_pixels,scale_4x,1024,0.8875
7,mlp,raw_pixels,translated_crop,1024,0.455
7,mlp,normalized,in_domain,256,0.8966666666666666
7,mlp,normalized,scale_2x,512,0.9008333333333334
7,mlp,normalized,scale_4x,1024,0.8983333333333333
7,mlp,normalized,translated_crop,1024,0.7758333333333334
7,mlp,quantized_32,in_domain,256,0.8991666666666667
7,mlp,quantized_32,scale_2x,512,0.9075
7,mlp,quantized_32,scale_4x,1024,0.9041666666666667
7,mlp,quantized_32,translated_crop,1024,0.7475
7,mlp,fourier,in_domain,256,0.7991666666666667
7,mlp,fourier,scale_2x,512,0.7958333333333333
7,mlp,fourier,scale_4x,1024,0.7925
7,mlp,fourier,translated_crop,1024,0.58
7,transformer,raw_pixels,in_domain,256,0.3516666666666667
7,transformer,raw_pixels,scale_2x,512,0.33916666666666667
7,transformer,raw_pixels,scale_4x,1024,0.3491666666666667
7,transformer,raw_pixels,translated_crop,1024,0.23416666666666666
7,transformer,normalized,in_domain,256,0.9383333333333334
7,transformer,normalized,scale_2x,512,0.9475
7,transformer,normalized,scale_4x,1024,0.9316666666666666
7,transformer,normalized,translated_crop,1024,0.6633333333333333
7,transformer,quantized_32,in_domain,256,0.9441666666666667
7,transformer,quantized_32,scale_2x,512,0.9533333333333334
7,transformer,quantized_32,scale_4x,1024,0.9491666666666667
7,transformer,quantized_32,translated_crop,1024,0.6825
7,transformer,fourier,in_domain,256,0.92
7,transformer,fourier,scale_2x,512,0.9116666666666666
7,transformer,fourier,scale_4x,1024,0.91
7,transformer,fourier,translated_crop,1024,0.6316666666666667
11,mlp,raw_pixels,in_domain,256,0.9041666666666667
11,mlp,raw_pixels,scale_2x,512,0.9008333333333334
11,mlp,raw_pixels,scale_4x,1024,0.9183333333333333
11,mlp,raw_pixels,translated_crop,1024,0.5383333333333333
11,mlp,normalized,in_domain,256,0.8841666666666667
11,mlp,normalized,scale_2x,512,0.8641666666666666
11,mlp,normalized,scale_4x,1024,0.8958333333333334
11,mlp,normalized,translated_crop,1024,0.895
11,mlp,quantized_32,in_domain,256,0.8791666666666667
11,mlp,quantized_32,scale_2x,512,0.87
11,mlp,quantized_32,scale_4x,1024,0.895
11,mlp,quantized_32,translated_crop,1024,0.8891666666666667
11,mlp,fourier,in_domain,256,0.8116666666666666
11,mlp,fourier,scale_2x,512,0.8016666666666666
11,mlp,fourier,scale_4x,1024,0.8041666666666667
11,mlp,fourier,translated_crop,1024,0.5975
11,transformer,raw_pixels,in_domain,256,0.35
11,transformer,raw_pixels,scale_2x,512,0.36833333333333335
11,transformer,raw_pixels,scale_4x,1024,0.33166666666666667
11,transformer,raw_pixels,translated_crop,1024,0.255
11,transformer,normalized,in_domain,256,0.9516666666666667
11,transformer,normalized,scale_2x,512,0.9491666666666667
11,transformer,normalized,scale_4x,1024,0.9541666666666667
11,transformer,normalized,translated_crop,1024,0.7291666666666666
11,transformer,quantized_32,in_domain,256,0.9566666666666667
11,transformer,quantized_32,scale_2x,512,0.9558333333333333
11,transformer,quantized_32,scale_4x,1024,0.9558333333333333
11,transformer,quantized_32,translated_crop,1024,0.6941666666666667
11,transformer,fourier,in_domain,256,0.9183333333333333
11,transformer,fourier,scale_2x,512,0.9108333333333334
11,transformer,fourier,scale_4x,1024,0.9308333333333333
11,transformer,fourier,translated_crop,1024,0.6466666666666666
19,mlp,raw_pixels,in_domain,256,0.9083333333333333
19,mlp,raw_pixels,scale_2x,512,0.8983333333333333
19,mlp,raw_pixels,scale_4x,1024,0.9133333333333333
19,mlp,raw_pixels,translated_crop,1024,0.6491666666666667
19,mlp,normalized,in_domain,256,0.8733333333333333
19,mlp,normalized,scale_2x,512,0.87
19,mlp,normalized,scale_4x,1024,0.875
19,mlp,normalized,translated_crop,1024,0.8925
19,mlp,quantized_32,in_domain,256,0.8875
19,mlp,quantized_32,scale_2x,512,0.8841666666666667
19,mlp,quantized_32,scale_4x,1024,0.885
19,mlp,quantized_32,translated_crop,1024,0.8533333333333334
19,mlp,fourier,in_domain,256,0.7825
19,mlp,fourier,scale_2x,512,0.765
19,mlp,fourier,scale_4x,1024,0.7991666666666667
19,mlp,fourier,translated_crop,1024,0.595
19,transformer,raw_pixels,in_domain,256,0.37083333333333335
19,transformer,raw_pixels,scale_2x,512,0.31666666666666665
19,transformer,raw_pixels,scale_4x,1024,0.3333333333333333
19,transformer,raw_pixels,translated_crop,1024,0.25833333333333336
19,transformer,normalized,in_domain,256,0.9625
19,transformer,normalized,scale_2x,512,0.9558333333333333
19,transformer,normalized,scale_4x,1024,0.9516666666666667
19,transformer,normalized,translated_crop,1024,0.6841666666666667
19,transformer,quantized_32,in_domain,256,0.9566666666666667
19,transformer,quantized_32,scale_2x,512,0.9625
19,transformer,quantized_32,scale_4x,1024,0.9583333333333334
19,transformer,quantized_32,translated_crop,1024,0.6733333333333333
19,transformer,fourier,in_domain,256,0.9158333333333334
19,transformer,fourier,scale_2x,512,0.9233333333333333
19,transformer,fourier,scale_4x,1024,0.93
19,transformer,fourier,translated_crop,1024,0.7233333333333334
23,mlp,raw_pixels,in_domain,256,0.9183333333333333
23,mlp,raw_pixels,scale_2x,512,0.9208333333333333
23,mlp,raw_pixels,scale_4x,1024,0.915
23,mlp,raw_pixels,translated_crop,1024,0.5075
23,mlp,normalized,in_domain,256,0.9141666666666667
23,mlp,normalized,scale_2x,512,0.9183333333333333
23,mlp,normalized,scale_4x,1024,0.9016666666666666
23,mlp,normalized,translated_crop,1024,0.7358333333333333
23,mlp,quantized_32,in_domain,256,0.9166666666666666
23,mlp,quantized_32,scale_2x,512,0.9225
23,mlp,quantized_32,scale_4x,1024,0.9058333333333334
23,mlp,quantized_32,translated_crop,1024,0.7191666666666666
23,mlp,fourier,in_domain,256,0.8091666666666667
23,mlp,fourier,scale_2x,512,0.7941666666666667
23,mlp,fourier,scale_4x,1024,0.8158333333333333
23,mlp,fourier,translated_crop,1024,0.585
23,transformer,raw_pixels,in_domain,256,0.32083333333333336
23,transformer,raw_pixels,scale_2x,512,0.3591666666666667
23,transformer,raw_pixels,scale_4x,1024,0.3375
23,transformer,raw_pixels,translated_crop,1024,0.25666666666666665
23,transformer,normalized,in_domain,256,0.9608333333333333
23,transformer,normalized,scale_2x,512,0.96
23,transformer,normalized,scale_4x,1024,0.9658333333333333
23,transformer,normalized,translated_crop,1024,0.6658333333333334
23,transformer,quantized_32,in_domain,256,0.9483333333333334
23,transformer,quantized_32,scale_2x,512,0.94
23,transformer,quantized_32,scale_4x,1024,0.9416666666666667
23,transformer,quantized_32,translated_crop,1024,0.7033333333333334
23,transformer,fourier,in_domain,256,0.9275
23,transformer,fourier,scale_2x,512,0.9316666666666666
23,transformer,fourier,scale_4x,1024,0.9183333333333333
23,transformer,fourier,translated_crop,1024,0.6358333333333334
